gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,contrast,na_pvalue,na_padj,significant,direction,status
TX50_RS00020...1,1911.2134214117261,10.067202810082225,0.23073504058018748,43.63100977106927,0,0,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00025...2,129.7267810834447,7.155070312585822,0.21699794686668614,32.97298622360505,1.981678531043185e-238,3.948425146351922e-238,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00030...3,1008.790198462983,8.7860863779809,0.234051739483735,37.539077459372926,0,0,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00035...4,436.52573049078154,8.515564520389624,0.16283345043481268,52.29616210705227,0,0,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00040...5,836.8079504884151,9.342808423850373,0.19146877059842013,48.79546881013641,0,0,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00045...6,162.04778179795971,6.497380676950121,0.29413011640172126,22.090157772473848,3.9302083272189986e-108,5.177804707247236e-108,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00050...7,364.4287619302709,7.007995398681153,0.26520223573917506,26.425099242275913,7.0542954292048e-154,1.0624492139510241e-153,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00055...8,1881.381554903057,10.37364803543172,0.24236040386224136,42.80256952091953,0,0,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00060...9,163.35588032998203,7.4667495744594445,0.2544802165044542,29.34117896087515,3.0964294174830385e-189,5.248617996118227e-189,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00065...10,217.24777771246605,7.968350677334499,0.1748837173299104,45.563708268520834,0,0,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00070...11,117.64445387691146,7.200340478390776,0.18280813816479502,39.38741759899072,0,0,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00075...12,321.69076290321453,8.403880706705813,0.22144441864998213,37.95029361290471,0,0,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00080...13,3731.197555154917,11.955274853185443,0.16022513816247336,74.61547538852746,0,0,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00085...14,152.214865749413,6.223441789724628,0.2852568447953473,21.816976185758246,1.6010186314315288e-105,2.0928569821890958e-105,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00090...15,484.41315959319763,8.047195346701345,0.18657426413530356,43.13132566271586,0,0,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00095...16,2005.5983256409686,10.840092433316888,0.21440389293412102,50.5592145971327,0,0,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00100...17,797.2286011515466,9.221219553883921,0.1739513117458806,53.01034790329652,0,0,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00105...18,122.61403320410712,6.567962000359099,0.18131633676558306,36.22377397162268,2.572179684332928e-287,5.86342930504957e-287,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00110...19,118.48371371296325,5.783181009933225,0.3421748060650524,16.90124727895296,4.404896420071838e-64,5.1183071397068245e-64,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00115...20,1285.6215432364038,10.500982386175888,0.16650753003465177,63.06611108813239,0,0,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00120...21,42.339481703011565,5.075068292956828,0.3026620367332109,16.768103286869685,4.17628303236419e-63,4.837484288426855e-63,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00125...22,155.75629339921082,7.065849722866078,0.21188043251249208,33.34828817875614,7.712986669438757e-244,1.555200253282259e-243,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00130...23,4439.613777640853,13.304116621336508,0.3081154238641837,43.17900238321376,0,0,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00135...24,234.41986013869922,7.640784403384138,0.1457482650612211,52.4245307494717,0,0,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00140...25,1824.0204507473718,11.150608282955893,0.27592764037748796,40.411349394722095,0,0,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00145...26,820.0887505729042,10.238460503618738,0.2108176846563802,48.56547267515434,0,0,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00150...27,996.0900424406376,10.344572882921035,0.1292621265445073,80.02787173209015,0,0,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00155...28,150.45836038586063,6.757019427693795,0.17998998019319437,37.541086567380404,0,0,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00160...29,186.39220490896807,8.169710840457954,0.23053131038629995,35.43861710918147,4.343676655230215e-275,9.628916753091172e-275,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00165...30,286.6472569467633,5.030290578587721,0.7458060261642512,6.744770626833048,1.5326895973274785e-11,1.5726210890538595e-11,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00170...31,274.37465963813116,8.259423869594777,0.16111904798019958,51.262864156259184,0,0,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00175...32,126.50652751904809,5.943140418271071,0.3114082046219259,19.084726510293816,3.3824249395168125e-81,4.138049281589967e-81,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00180...33,476.58368443677784,7.978035210513308,0.32375326387739983,24.642331369775665,4.447124156619257e-134,6.302930179098197e-134,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00185...34,1087.254410304833,9.707250769642185,0.1999585612313263,48.5463123452471,0,0,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00190...35,1366.6149771174128,9.963988034777623,0.24896578847972092,40.02151498654291,0,0,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00195...36,165.9775424972949,7.397881856066954,0.23567755051925549,31.389845319452807,2.7840240116965926e-216,5.122493484741941e-216,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00200...37,760.4466399012803,9.178465686283058,0.20823244394843204,44.077980895984055,0,0,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00205...38,72.88905629892997,5.873123725458873,0.20013645008426337,29.345597580980947,2.7194839174120917e-189,4.618132780853011e-189,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00210...39,299.6021107577577,8.105186568357219,0.258735896361112,31.326100020713742,2.0590903814489628e-215,3.7811272778393153e-215,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00215...40,172.53618513371424,6.97069519093859,0.18990832355067724,36.705580148404884,5.949662056958624e-295,1.4011227057799508e-294,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00220...41,223.2278772446376,8.597118581618128,0.34169542859699237,25.160180271998524,1.0934795014600395e-139,1.5751210561887417e-139,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00225...42,345.71979205146306,8.256243474200037,0.18969766957094017,43.52316764288185,0,0,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00230...43,1509.4428467801056,9.786669053131966,0.19417057272836322,50.40243181866246,0,0,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00235...44,869.845608418173,10.134790292071932,0.15725876253737184,64.44658554186094,0,0,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00240...45,296.96836552933166,7.160513144410647,0.2642064867633712,27.10195813936904,9.33679830420048e-162,1.4462270846087939e-161,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00245...46,317.90652351652795,9.065003321781608,0.2871463421101697,31.569280162738867,9.751621978085859e-219,1.82141799005418e-218,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00250...47,248.02044000703688,7.415645919005832,0.1954333816752541,37.94462264040538,0,0,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00255...48,879.1178313774976,9.879144687373959,0.11603601814421624,85.1386047657684,0,0,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00260...49,34.75861689718212,5.521504710878095,0.40526351190476034,13.62448024231623,2.8644230679664558e-42,3.137305975624799e-42,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00265...50,126.1532452068055,5.964353608071449,0.2907006673280794,20.5171651750637,1.5128048033007508e-93,1.914013459268414e-93,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00270...51,2135.7217225934787,11.458061630642224,0.27216219033737693,42.10012278501512,0,0,Intercept,FALSE,FALSE,TRUE,up,up
