,ids,growth,status
0,{'PMM1337'},,infeasible
1,{'PMM1084'},1.3183321417861542,optimal
2,{'PMM0304'},,infeasible
3,{'PMM0508'},,infeasible
4,{'PMM0468'},1.3183321417861598,optimal
5,{'PMM1450'},1.3183321417861587,optimal
6,{'PMM1627'},1.3183321417861484,optimal
7,{'PMM1525'},1.3183321417861573,optimal
8,{'PMM0243'},,infeasible
9,{'PMM0776'},1.3183321417861498,optimal
10,{'PMM1687'},1.3183321417861498,optimal
11,{'PMM1142'},,infeasible
12,{'PMM1361'},,infeasible
13,{'PMM1265'},,infeasible
14,{'PMM0550'},1.3183321417861498,optimal
15,{'PMM1075'},1.318332141786161,optimal
16,{'PMM0787'},,infeasible
17,{'PMM1658'},,infeasible
18,{'PMM0898'},1.3183321417861462,optimal
19,{'PMM1679'},1.3183321417861462,optimal
20,{'PMM1117'},1.3183321417861573,optimal
21,{'PMM0678'},,infeasible
22,{'PMM0175'},1.3183321417861578,optimal
23,{'PMM0613'},,infeasible
24,{'PMM1578'},1.3183321417861598,optimal
25,{'PMM0740'},1.3183321417861598,optimal
26,{'PMM0542'},,infeasible
27,{'PMM0506'},,infeasible
28,{'PMM0634'},,infeasible
29,{'PMM0222'},1.3183321417861482,optimal
30,{'PMM0187'},1.3183321417861604,optimal
31,{'PMM0930'},1.318332141786161,optimal
32,{'PMM0666'},1.3183321417861604,optimal
33,{'PMM0024'},,infeasible
34,{'PMM1002'},1.3183321417861606,optimal
35,{'PMM0046'},1.3183321417861527,optimal
36,{'PMM1711'},1.3183321417861573,optimal
37,{'PMM0279'},1.3183321417861573,optimal
38,{'PMM0115'},,infeasible
39,{'PMM1031'},,infeasible
40,{'PMM1575'},1.3183321417861502,optimal
41,{'PMM0062'},1.3183321417861535,optimal
42,{'PMM0525'},,infeasible
43,{'PMM0893'},,infeasible
44,{'PMM1316'},,infeasible
45,{'PMM1613'},,infeasible
46,{'PMM0396'},1.3183321417861524,optimal
47,{'PMM1323'},1.3183321417861524,optimal
48,{'PMM1514'},1.3183321417861524,optimal
49,{'PMM0459'},1.3183321417861524,optimal
50,{'PMM0671'},,infeasible
51,{'PMM0920'},1.3183321417861515,optimal
52,{'PMM0105'},,infeasible
53,{'PMM0170'},1.3183321417861593,optimal
54,{'PMM0135'},,infeasible
55,{'PMM1471'},,infeasible
56,{'PMM1512'},1.3183321417861644,optimal
57,{'PMM1446'},,infeasible
58,{'PMM0570'},1.318332141786163,optimal
59,{'PMM0107'},,infeasible
60,{'PMM1150'},1.318332141786149,optimal
61,{'PMM1358'},1.318332141786149,optimal
62,{'PMM0213'},,infeasible
63,{'PMM0244'},1.3183321417861469,optimal
64,{'PMM0050'},1.3183321417861518,optimal
65,{'PMM0959'},,infeasible
66,{'PMM1606'},,infeasible
67,{'PMM0993'},1.3183321417861606,optimal
68,{'PMM0113'},,infeasible
69,{'PMM0643'},1.3183321417861447,optimal
70,{'PMM0829'},,infeasible
71,{'PMM0373'},1.3183321417861018,optimal
72,{'PMM0494'},,infeasible
73,{'PMM0567'},1.3183321417861464,optimal
74,{'PMM0568'},,infeasible
75,{'PMM0831'},,infeasible
76,{'PMM0143'},,infeasible
77,{'PMM1044'},,infeasible
78,{'PMM1146'},1.3183321417861482,optimal
79,{'PMM0428'},,infeasible
80,{'PMM0198'},,infeasible
81,{'PMM1278'},1.3183321417861504,optimal
82,{'PMM1378'},,infeasible
83,{'PMM0078'},,infeasible
84,{'PMM1643'},,infeasible
85,{'PMM0145'},1.318332141786163,optimal
86,{'PMM0229'},,infeasible
87,{'PMM0022'},,infeasible
