,ids,growth,status
88,{'PMM0389'},1.318332141786151,optimal
89,{'PMM0402'},1.318332141786151,optimal
90,{'PMM1386'},1.318332141786151,optimal
91,{'PMM0511'},,infeasible
92,{'PMM1689'},,infeasible
93,{'PMM0560'},,infeasible
94,{'PMM0040'},,infeasible
95,{'PMM0036'},1.3183321417861549,optimal
96,{'PMM0251'},1.318332141786142,optimal
97,{'PMM1420'},1.318332141786142,optimal
98,{'PMM1702'},1.318332141786159,optimal
99,{'PMM0409'},,infeasible
100,{'PMM0184'},,infeasible
101,{'PMM1297'},,infeasible
102,{'PMM0317'},1.3183321417861604,optimal
103,{'PMM0435'},1.3183321417861604,optimal
104,{'PMM0387'},,infeasible
105,{'PMM0673'},,infeasible
106,{'PMM1571'},1.3183321417861524,optimal
107,{'PMM0399'},,infeasible
108,{'PMM1686'},,infeasible
109,{'PMM0974'},1.3183321417861542,optimal
110,{'PMM0130'},,infeasible
111,{'PMM1433'},1.3183321417861498,optimal
112,{'PMM1096'},1.3183321417861498,optimal
113,{'PMM0781'},1.3183321417861498,optimal
114,{'PMM1340'},,infeasible
115,{'PMM1434'},1.3183321417861724,optimal
116,{'PMM0445'},1.3183321417861662,optimal
117,{'PMM0867'},1.3183321417861662,optimal
118,{'PMM1454'},1.318332141786142,optimal
119,{'PMM0003'},,infeasible
120,{'PMM1559'},1.318332141786163,optimal
121,{'PMM0555'},1.318332141786163,optimal
122,{'PMM0879'},,infeasible
123,{'PMM0572'},,infeasible
124,{'PMM1234'},1.318332141786164,optimal
125,{'PMM1335'},,infeasible
126,{'PMM1709'},,infeasible
127,{'PMM0964'},1.318332141786153,optimal
128,{'PMM1066'},1.318332141786153,optimal
129,{'PMM1527'},,infeasible
130,{'PMM0548'},1.3183321417861558,optimal
131,{'PMM0156'},,infeasible
132,{'PMM0225'},1.3183321417861504,optimal
133,{'PMM0325'},1.31833214178615,optimal
134,{'PMM0617'},,infeasible
135,{'PMM0278'},1.3183321417861529,optimal
136,{'PMM1524'},1.3183321417861518,optimal
137,{'PMM1672'},,infeasible
138,{'PMM0191'},1.3183321417861504,optimal
139,{'PMM1379'},1.3183321417861522,optimal
140,{'PMM0499'},1.3183321417861544,optimal
141,{'PMM0608'},1.3183321417861547,optimal
142,{'PMM1229'},1.3183321417861475,optimal
143,{'PMM0052'},1.318332141786152,optimal
144,{'PMM0238'},1.318332141786152,optimal
145,{'PMM0784'},,infeasible
146,{'PMM0771'},1.3183321417861553,optimal
147,{'PMM1163'},1.3183321417861553,optimal
148,{'PMM1157'},1.3183321417861573,optimal
149,{'PMM0881'},,infeasible
150,{'PMM1165'},1.3183321417861635,optimal
151,{'PMM0603'},,infeasible
152,{'PMM1520'},1.3183321417861598,optimal
153,{'PMM0892'},1.3183321417861384,optimal
154,{'PMM1192'},1.3183321417861384,optimal
155,{'PMM0956'},,infeasible
156,{'PMM0331'},,infeasible
157,{'PMM1074'},1.3183321417861584,optimal
158,{'PMM1699'},,infeasible
159,{'PMM1607'},1.3183321417861598,optimal
160,{'PMM0174'},1.3183321417861598,optimal
161,{'PMM0628'},1.3183321417861598,optimal
162,{'PMM0945'},,infeasible
163,{'PMM1298'},1.318332141786158,optimal
164,{'PMM0539'},,infeasible
165,{'PMM0553'},1.3183321417861509,optimal
166,{'PMM0973'},1.3183321417861462,optimal
167,{'PMM0224'},,infeasible
168,{'PMM1690'},,infeasible
169,{'PMM0161'},1.3183321417861513,optimal
170,{'PMM1328'},,infeasible
171,{'PMM0814'},1.3183321417861633,optimal
172,{'PMM1336'},,infeasible
173,{'PMM1644'},1.3183321417861604,optimal
174,{'PMM0469'},1.3183321417861589,optimal
175,{'PMM0877'},,infeasible
176,{'PMM0310'},1.3183321417861484,optimal
177,{'PMM0796'},,infeasible
178,{'PMM0430'},,infeasible
179,{'PMM0659'},1.318332141786151,optimal
180,{'PMM0012'},1.318332141786151,optimal
181,{'PMM0583'},,infeasible
182,{'PMM1596'},1.3183321417861436,optimal
183,{'PMM1305'},1.3183321417861436,optimal
184,{'PMM0125'},1.3183321417861436,optimal
185,{'PMM0233'},,infeasible
186,{'PMM0256'},1.3183321417861564,optimal
187,{'PMM1519'},1.3183321417861675,optimal
188,{'PMM0168'},,infeasible
189,{'PMM0199'},,infeasible
190,{'PMM0311'},,infeasible
191,{'PMM1539'},,infeasible
192,{'PMM0989'},1.3183321417861544,optimal
193,{'PMM1635'},1.3183321417861544,optimal
194,{'PMM0489'},,infeasible
195,{'PMM1029'},,infeasible
196,{'PMM0785'},1.3183321417861513,optimal
197,{'PMM1600'},,infeasible
198,{'PMM0339'},1.3183321417861524,optimal
199,{'PMM1327'},,infeasible
200,{'PMM1322'},1.318332141786123,optimal
201,{'PMM0372'},1.318332141786123,optimal
202,{'PMM1684'},1.3183321417861482,optimal
203,{'PMM1294'},1.3183321417861575,optimal
204,{'PMM1364'},,infeasible
205,{'PMM1569'},1.3183321417861564,optimal
206,{'PMM0081'},,infeasible
207,{'PMM0946'},1.3183321417861598,optimal
208,{'PMM1261'},1.3183321417861598,optimal
209,{'PMM1625'},,infeasible
210,{'PMM1647'},,infeasible
211,{'PMM0177'},1.3183321417861509,optimal
212,{'PMM0152'},1.3183321417861509,optimal
213,{'PMM0579'},,infeasible
214,{'PMM1158'},1.3183321417861604,optimal
215,{'PMM1060'},,infeasible
216,{'PMM0483'},,infeasible
217,{'PMM0070'},1.3183321417861553,optimal
218,{'PMM0713'},1.3183321417861553,optimal
219,{'PMM0472'},,infeasible
220,{'PMM1154'},,infeasible
221,{'PMM0537'},,infeasible
222,{'PMM1107'},1.318332141786159,optimal
223,{'PMM1676'},1.3183321417861653,optimal
224,{'PMM1682'},1.3183321417861653,optimal
225,{'PMM1300'},,infeasible
226,{'PMM1439'},1.3183321417861664,optimal
227,{'PMM0300'},1.318332141786156,optimal
228,{'PMM0159'},1.318332141786156,optimal
229,{'PMM1062'},1.318332141786156,optimal
230,{'PMM0908'},1.3183321417861538,optimal
231,{'PMM1006'},1.3183321417861547,optimal
232,{'PMM1201'},1.3183321417861567,optimal
233,{'PMM0786'},1.3183321417861567,optimal
234,{'PMM1269'},,infeasible
235,{'PMM1504'},,infeasible
236,{'PMM0361'},1.3183321417861589,optimal
237,{'PMM0932'},,infeasible
238,{'PMM1301'},1.3183321417861429,optimal
239,{'PMM1688'},1.3183321417861429,optimal
240,{'PMM0544'},1.3183321417861429,optimal
241,{'PMM0756'},,infeasible
242,{'PMM1270'},1.3183321417861582,optimal
243,{'PMM0900'},,infeasible
244,{'PMM0844'},,infeasible
245,{'PMM1271'},,infeasible
246,{'PMM0769'},1.3183321417861604,optimal
247,{'PMM0609'},1.3183321417861642,optimal
248,{'PMM0446'},1.3183321417861642,optimal
249,{'PMM0444'},1.3183321417861642,optimal
250,{'PMM0584'},1.3183321417861642,optimal
251,{'PMM0938'},1.3183321417861678,optimal
252,{'PMM1693'},,infeasible
253,{'PMM1610'},1.2506606604565687,optimal
254,{'PMM0807'},,infeasible
255,{'PMM0301'},1.3085119353595003,optimal
256,{'PMM0178'},1.3183321417861562,optimal
257,{'PMM0084'},,infeasible
258,{'PMM1465'},,infeasible
259,{'PMM0001'},,infeasible
260,{'PMM0442'},,infeasible
261,{'PMM1188'},1.3183321417861573,optimal
262,{'PMM0758'},1.3183321417861573,optimal
263,{'PMM0336'},1.3183321417861547,optimal
264,{'PMM0028'},1.3183321417861569,optimal
265,{'PMM0633'},,infeasible
266,{'PMM1196'},1.3183321417861604,optimal
267,{'PMM1716'},,infeasible
268,{'PMM0315'},1.3183321417861604,optimal
269,{'PMM0495'},,infeasible
270,{'PMM1483'},1.3183321417861498,optimal
271,{'PMM1263'},1.3183321417861498,optimal
272,{'PMM0253'},1.3183321417861498,optimal
273,{'PMM0371'},1.3183321417861498,optimal
274,{'PMM0318'},,infeasible
275,{'PMM0255'},1.3183321417861564,optimal
276,{'PMM0473'},,infeasible
277,{'PMM0590'},1.3183321417861553,optimal
278,{'PMM0780'},,infeasible
279,{'PMM0767'},1.318332141786159,optimal
280,{'PMM0048'},1.318332141786159,optimal
281,{'PMM1618'},1.318332141786159,optimal
282,{'PMM0136'},,infeasible
283,{'PMM1204'},1.3183321417861573,optimal
284,{'PMM1611'},,infeasible
285,{'PMM0653'},1.318332141786167,optimal
286,{'PMM0674'},1.318332141786167,optimal
287,{'PMM1630'},,infeasible
288,{'PMM0281'},,infeasible
289,{'PMM1668'},1.3183321417861515,optimal
290,{'PMM0523'},,infeasible
291,{'PMM0080'},,infeasible
292,{'PMM0160'},1.318332141786163,optimal
293,{'PMM0454'},,infeasible
294,{'PMM0607'},1.3183321417861533,optimal
295,{'PMM0832'},,infeasible
296,{'PMM1455'},1.3183321417861664,optimal
297,{'PMM0193'},1.318332141786156,optimal
298,{'PMM0264'},,infeasible
299,{'PMM0878'},,infeasible
300,{'PMM0021'},,infeasible
301,{'PMM0215'},,infeasible
302,{'PMM0214'},,infeasible
303,{'PMM1080'},1.318332141786145,optimal
304,{'PMM0245'},,infeasible
305,{'PMM0676'},,infeasible
306,{'PMM1488'},,infeasible
307,{'PMM0290'},1.3183321417861578,optimal
308,{'PMM0619'},1.3183321417861578,optimal
309,{'PMM1141'},1.3183321417861578,optimal
310,{'PMM0227'},,infeasible
311,{'PMM0431'},1.3183321417861567,optimal
312,{'PMM0871'},1.3183321417861549,optimal
313,{'PMM1311'},1.3183321417861549,optimal
314,{'PMM0598'},1.3183321417861549,optimal
315,{'PMM0392'},,infeasible
316,{'PMM0534'},,infeasible
317,{'PMM1064'},,infeasible
318,{'PMM1451'},1.3183321417861664,optimal
319,{'PMM1122'},1.3085111137368883,optimal
320,{'PMM0581'},1.3183321417861573,optimal
321,{'PMM1203'},1.3183321417861582,optimal
322,{'PMM0961'},1.3183321417861582,optimal
323,{'PMM0515'},,infeasible
324,{'PMM0457'},1.318332141786151,optimal
325,{'PMM1701'},,infeasible
326,{'PMM0803'},,infeasible
327,{'PMM1145'},1.3183321417861482,optimal
328,{'PMM0415'},1.3183321417861604,optimal
329,{'PMM0856'},1.318332141786157,optimal
330,{'PMM1685'},,infeasible
331,{'PMM1171'},,infeasible
332,{'PMM1500'},,infeasible
333,{'PMM0963'},1.318332141786153,optimal
334,{'PMM0884'},,infeasible
335,{'PMM1140'},,infeasible
336,{'PMM1160'},,infeasible
337,{'PMM1489'},0.07975566692202948,optimal
338,{'PMM1023'},1.31833214178615,optimal
339,{'PMM0100'},,infeasible
340,{'PMM0150'},1.318332141786163,optimal
341,{'PMM0356'},1.318332141786156,optimal
342,{'PMM0890'},,infeasible
343,{'PMM0764'},1.3183321417861533,optimal
344,{'PMM1235'},1.2506606604565724,optimal
345,{'PMM1315'},,infeasible
346,{'PMM1593'},,infeasible
347,{'PMM0060'},,infeasible
348,{'PMM0241'},,infeasible
349,{'PMM1304'},,infeasible
350,{'PMM0914'},1.3183321417861513,optimal
351,{'PMM0545'},1.3183321417861569,optimal
352,{'PMM1470'},,infeasible
353,{'PMM0912'},1.3183321417861447,optimal
354,{'PMM0889'},1.3183321417861482,optimal
355,{'PMM1590'},,infeasible
356,{'PMM1638'},1.3183321417861675,optimal
357,{'PMM0644'},,infeasible
358,{'PMM1653'},,infeasible
359,{'PMM1334'},,infeasible
360,{'PMM0082'},1.3183321417861606,optimal
361,{'PMM0292'},1.3183321417861606,optimal
362,{'PMM0467'},,infeasible
363,{'PMM1164'},,infeasible
364,{'PMM1570'},,infeasible
365,{'PMM0462'},1.3183321417861598,optimal
366,{'PMM0258'},1.3183321417861609,optimal
367,{'PMM0131'},,infeasible
368,{'PMM1572'},,infeasible
369,{'PMM1608'},,infeasible
370,{'PMM0519'},1.3183321417861602,optimal
371,{'PMM0554'},1.3183321417861602,optimal
372,{'PMM0757'},,infeasible
373,{'PMM0971'},1.3183321417861542,optimal
374,{'PMM0597'},1.3183321417861542,optimal
375,{'PMM0149'},1.3183321417861544,optimal
376,{'PMM0788'},1.3183321417861544,optimal
377,{'PMM0646'},,infeasible
378,{'PMM0329'},1.3183321417861598,optimal
379,{'PMM1484'},1.3183321417861598,optimal
380,{'PMM0891'},,infeasible
381,{'PMM0314'},1.3183321417861604,optimal
382,{'PMM0047'},,infeasible
383,{'PMM0503'},,infeasible
384,{'PMM1694'},1.3183321417861646,optimal
385,{'PMM0887'},1.3183321417861522,optimal
386,{'PMM0287'},,infeasible
387,{'PMM0447'},1.3183321417861633,optimal
388,{'PMM1648'},,infeasible
389,{'PMM1431'},1.3183321417861498,optimal
390,{'PMM1051'},,infeasible
391,{'PMM0821'},,infeasible
392,{'PMM1609'},,infeasible
393,{'PMM0197'},,infeasible
394,{'PMM0401'},1.3183321417861538,optimal
395,{'PMM0294'},1.3183321417861555,optimal
396,{'PMM0299'},1.3183321417861555,optimal
397,{'PMM1564'},,infeasible
398,{'PMM1004'},,infeasible
399,{'PMM1472'},,infeasible
400,{'PMM1092'},,infeasible
401,{'PMM1093'},,infeasible
402,{'PMM0211'},,infeasible
403,{'PMM0302'},1.3183321417861622,optimal
404,{'PMM0083'},,infeasible
405,{'PMM0405'},1.3183321417861582,optimal
406,{'PMM1594'},,infeasible
407,{'PMM0717'},1.3183321417861515,optimal
408,{'PMM0106'},,infeasible
409,{'PMM0526'},,infeasible
410,{'PMM0263'},1.3183321417861624,optimal
411,{'PMM0770'},1.318332141786159,optimal
412,{'PMM1072'},,infeasible
413,{'PMM0357'},1.3183321417861482,optimal
414,{'PMM1268'},,infeasible
415,{'PMM1674'},,infeasible
416,{'PMM0965'},1.318332141786153,optimal
417,{'PMM1329'},1.318332141786153,optimal
418,{'PMM1354'},1.3183321417861615,optimal
419,{'PMM0725'},,infeasible
420,{'PMM1445'},,infeasible
421,{'PMM1288'},1.3183321417861535,optimal
422,{'PMM0596'},1.3183321417861535,optimal
423,{'PMM0461'},1.3183321417861495,optimal
424,{'PMM0683'},,infeasible
425,{'PMM1700'},1.3183321417861633,optimal
426,{'PMM1461'},,infeasible
427,{'PMM0079'},1.318332141786156,optimal
428,{'PMM1207'},1.318332141786156,optimal
429,{'PMM0167'},,infeasible
430,{'PMM0195'},1.3183321417861502,optimal
431,{'PMM0138'},,infeasible
432,{'PMM0413'},,infeasible
433,{'PMM0172'},1.318332141786163,optimal
434,{'PMM1453'},1.3183321417861487,optimal
435,{'PMM0863'},,infeasible
436,{'PMM0543'},1.318332141786161,optimal
437,{'PMM1707'},1.3183321417861558,optimal
438,{'PMM0552'},1.3183321417861558,optimal
439,{'PMM1324'},1.3183321417861629,optimal
440,{'PMM1664'},,infeasible
441,{'PMM0672'},,infeasible
442,{'PMM0972'},1.3183321417861542,optimal
443,{'PMM0370'},1.3183321417861542,optimal
444,{'PMM1209'},,infeasible
445,{'PMM0129'},,infeasible
446,{'PMM0522'},,infeasible
447,{'PMM0023'},1.3183321417861618,optimal
448,{'PMM0507'},1.3183321417861442,optimal
449,{'PMM1438'},1.3183321417861478,optimal
450,{'PMM1273'},,infeasible
451,{'PMM1274'},,infeasible
452,{'PMM1577'},,infeasible
453,{'PMM0623'},1.318332141786154,optimal
454,{'PMM0049'},,infeasible
455,{'PMM0602'},,infeasible
456,{'PMM1081'},1.318332141786151,optimal
457,{'PMM0906'},1.318332141786156,optimal
458,{'PMM0601'},,infeasible
459,{'PMM1485'},1.3183321417861498,optimal
460,{'PMM0076'},,infeasible
461,{'PMM0188'},,infeasible
462,{'PMM0724'},,infeasible
463,{'PMM1210'},1.3183321417861635,optimal
464,{'PMM0419'},1.3183321417861427,optimal
465,{'PMM0123'},,infeasible
466,{'PMM1565'},,infeasible
467,{'PMM1032'},,infeasible
468,{'PMM1090'},,infeasible
469,{'PMM0760'},,infeasible
470,{'PMM1665'},,infeasible
471,{'PMM0830'},,infeasible
472,{'PMM0448'},1.3183321417861673,optimal
473,{'PMM0319'},1.3183321417861589,optimal
474,{'PMM1654'},,infeasible
475,{'PMM1127'},1.3183321417861482,optimal
476,{'PMM0926'},1.3183321417861533,optimal
477,{'PMM0729'},1.3183321417861549,optimal
478,{'PMM0275'},,infeasible
479,{'PMM0407'},,infeasible
480,{'PMM0578'},,infeasible
481,{'PMM1115'},1.3183321417861538,optimal
482,{'PMM0144'},,infeasible
483,{'PMM1692'},,infeasible
484,{'PMM0723'},,infeasible
485,{'PMM0907'},,infeasible
486,{'PMM0595'},,infeasible
487,{'PMM0096'},1.3183321417861495,optimal
488,{'PMM1449'},1.3183321417861695,optimal
489,{'PMM0747'},,infeasible
490,{'PMM0903'},1.318332141786156,optimal
491,{'PMM0766'},1.3183321417861413,optimal
492,{'PMM0919'},1.3183321417861218,optimal
493,{'PMM1085'},,infeasible
494,{'PMM0661'},,infeasible
495,{'PMM1147'},1.3183321417861482,optimal
496,{'PMM0293'},1.3183321417861533,optimal
497,{'PMM0158'},1.3183321417861533,optimal
498,{'PMM0774'},,infeasible
499,{'PMM0540'},1.3183321417861598,optimal
500,{'PMM0141'},1.3183321417861598,optimal
501,{'PMM0157'},1.3183321417861582,optimal
502,{'PMM1069'},,infeasible
503,{'PMM0173'},1.3183321417861604,optimal
504,{'PMM1466'},1.3183321417861604,optimal
505,{'PMM0266'},,infeasible
506,{'PMM0551'},1.3183321417861498,optimal
507,{'PMM0594'},1.3183321417861573,optimal
508,{'PMM1352'},1.3183321417861669,optimal
509,{'PMM1589'},,infeasible
510,{'PMM0208'},1.3183321417861433,optimal
511,{'PMM0270'},,infeasible
512,{'PMM1332'},1.3183321417861606,optimal
513,{'PMM0970'},1.3183321417861538,optimal
514,{'PMM0453'},,infeasible
515,{'PMM1523'},1.3183321417861598,optimal
516,{'PMM0918'},,infeasible
517,{'PMM1306'},,infeasible
518,{'PMM0768'},,infeasible
519,{'PMM1659'},,infeasible
520,{'PMM0874'},1.3183321417861311,optimal
521,{'PMM0137'},,infeasible
522,{'PMM0282'},,infeasible
523,{'PMM0176'},1.3183321417861604,optimal
524,{'PMM0164'},,infeasible
525,{'PMM1452'},1.3183321417861664,optimal
526,{'PMM1310'},,infeasible
527,{'PMM0298'},1.3183321417861604,optimal
528,{'PMM0223'},1.3183321417861604,optimal
529,{'PMM0942'},,infeasible
530,{'PMM1280'},,infeasible
531,{'PMM0952'},,infeasible
532,{'PMM0408'},,infeasible
533,{'PMM0004'},,infeasible
534,{'PMM0759'},1.3183321417861635,optimal
535,{'PMM1339'},,infeasible
536,{'PMM1705'},,infeasible
537,{'PMM0642'},1.3183321417861584,optimal
538,{'PMM0951'},,infeasible
539,{'PMM1087'},1.3183321417861638,optimal
540,{'PMM0166'},,infeasible
541,{'PMM1646'},,infeasible
542,{'PMM0779'},,infeasible
543,{'PMM0621'},,infeasible
544,{'PMM0704'},,infeasible
545,{'PMM1205'},1.3183321417861513,optimal
546,{'PMM0289'},1.318332141786161,optimal
547,{'PMM0257'},1.3183321417861513,optimal
548,{'PMM1468'},,infeasible
549,{'PMM0610'},,infeasible
550,{'PMM1181'},,infeasible
551,{'PMM0569'},,infeasible
552,{'PMM0037'},1.3182786754467524,optimal
553,{'PMM0798'},,infeasible
554,{'PMM1236'},1.2506606604565687,optimal
555,{'PMM0682'},,infeasible
556,{'PMM1456'},1.3183321417861664,optimal
557,{'PMM0536'},,infeasible
558,{'PMM1070'},,infeasible
559,{'PMM1098'},1.3183321417861604,optimal
560,{'PMM1058'},1.3183321417861589,optimal
561,{'PMM0044'},1.3183321417861635,optimal
562,{'PMM1208'},1.3183321417861635,optimal
563,{'PMM1615'},,infeasible
564,{'PMM1302'},,infeasible
565,{'PMM0183'},,infeasible
566,{'PMM0358'},,infeasible
567,{'PMM0235'},1.3183321417861598,optimal
568,{'PMM0272'},1.3183321417861595,optimal
569,{'PMM0591'},,infeasible
570,{'PMM0228'},1.3183321417861604,optimal
571,{'PMM0899'},1.3183321417861604,optimal
572,{'PMM0345'},1.3183321417861393,optimal
573,{'PMM0710'},,infeasible
574,{'PMM0326'},1.318332141786157,optimal
575,{'PMM0153'},,infeasible
576,{'PMM1691'},,infeasible
577,{'PMM0027'},,infeasible
578,{'PMM0611'},,infeasible
579,{'PMM1582'},,infeasible
580,{'PMM1535'},1.3183321417861498,optimal
581,{'PMM0186'},,infeasible
582,{'PMM1601'},1.3183321417861484,optimal
583,{'PMM0364'},1.3183321417861542,optimal
584,{'PMM0514'},,infeasible
585,{'PMM0433'},,infeasible
586,{'PMM1592'},,infeasible
587,{'PMM0618'},1.3183321417861498,optimal
588,{'PMM0888'},,infeasible
589,{'PMM1216'},1.3183321417861604,optimal
590,{'PMM0841'},1.3183321417861604,optimal
591,{'PMM0045'},,infeasible
592,{'PMM0825'},,infeasible
593,{'PMM0297'},1.3183321417861604,optimal
594,{'PMM1152'},1.3183321417861589,optimal
