gid	AmmoniaEX	CyanateEX	GlutathioneEX	GlycineEX	GuanineEX	GuanosineEX	L_AlanineEX	L_ArginineEX	L_AspartateEX	L_CystineEX	L_GlutamateEX	L_GlutamineEX	L_LeucineEX	L_SerineEX	L_ValineEX	UreaEX
PMM0770	-1.2603390689980425	-1.374212902506148	-1.2164759611120808	-1.2676825422883748	-0.6737443304477064	-7.889428510669365	-1.061256418434334	-1.3558776584699759	-8.48831884887429	-1.061256418434372	-1.032184730579177	-1.2921704123814406	-1.1990961302479004	-1.0829412296741847	-1.5207212887063748	-1.260339068998043
PMM0779	0.014246782044355602	0.012757937542011172	0.019857391833419683	0.014704468549198296	0.004287212165594086	0.022419758474627485	0.016849690023112453	0.01371564974101957	0.03207165773274098	0.016849690023074546	0.01407298674386908	0.017641292262442373	0.01504750342044803	0.017214381700593282	0.01084241227496598	0.014246782044353578
PMM0780	0.014246782044355602	0.012757937542011172	0.019857391833419683	0.014704468549198296	0.004287212165594086	0.022419758474627485	0.016849690023112453	0.01371564974101957	0.03207165773274098	0.016849690023074546	0.01407298674386908	0.017641292262442373	0.01504750342044803	0.017214381700593282	0.01084241227496598	0.014246782044353578
PMM0784	0.5806797035143116	0.5199964010316561	0.8093606237881896	0.5993343908048105	0.31041619487353234	1.6233057396806005	0.6867707371698868	0.5590314641092206	1.307197698786602	0.6867707371699062	0.5735960404622721	0.7190353813694434	0.613316031480294	0.7016350801850093	0.4419221635871048	0.5806797035143125
PMM0821	0.009020040918255937	0.008077411327216746	0.01257227676464619	0.009309815197706748	0.004821878158480463	0.0252157671538073	0.010668015625899167	0.008683766025125788	3.8025877216199575	0.010668015625899469	0.008910006194820902	0.01116920140720278	0.00952700028310573	0.010898912248267669	0.0068646380683109855	0.00902004091825595
PMM0825	0.046973989793270415	-0.7237173114349804	0.06547309549620772	0.048483057675405346	0.025111067394650584	0.1313170527325585	0.05555620663662576	0.008612697940844367	0.10574554438354258	0.055556206636627775	0.04640095802740851	0.0	0.04961410021470542	0.05675865523755021	0.03574922125937432	0.046973989793269715
PMM0877	0.03533562989128979	0.031642918222307796	0.04925136400958783	0.03647080841026582	0.018889504330752427	0.09878170438989071	0.041791501307751965	0.03401828717931488	0.07954583878086355	0.04179150130775315	0.9828104783044738	0.0437548754692902	0.037321621822878424	0.04269602908818023	0.026891930127341004	0.03533562989128985
PMM0878	-0.020811947774664805	-0.01863701774969608	-0.0290080244430909	-0.021480544206213748	-0.011125523411649435	-0.05818036014016397	-0.024614321163018676	-0.02003606043921036	-0.04685083717178391	-0.024614321163019377	-0.020558064567450657	-0.025770707525389215	0.8686573375594726	-0.025147069128313812	0.6244865780861679	-0.020811947774664826
PMM0887	-0.04991675781383413	-0.04470026118920967	0.7861894910774384	0.0	-0.026684194276496112	-0.07980390489231096	-0.059036622691415755	-0.04805581809622406	-0.13547286494624697	0.9174003505574388	-0.01944305568601035	-0.035348751492927794	-0.05272226258548602	0.0	-0.03798879395790598	-0.04991675781383422
PMM0888	0.039218793393398406	0.035120275935163	0.05466377917636092	0.040478720892563186	0.02096534206212343	0.10963719247211848	0.04638412447807188	0.03775668300204017	0.08828742620547622	0.04638412447807321	0.038740366618663466	0.04856326111246044	0.04142303334852489	0.047388054173066504	0.029847184127142677	0.03921879339339846
PMM0891	0.03927638075471519	0.03517184519177139	0.05474404535821936	0.04053815828275679	0.014338636338640501	0.022419758474627485	0.046452233134877965	0.037812123457030354	0.0884170640517086	0.046452233134799674	0.038797251476647907	0.04863456952927522	0.04148385733067414	0.017214381700593397	0.029891010579447	0.03927638075471072
PMM0908	0.0	0.0	0.0	0.31411881379421136	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9142429922320771	0.0	0.0
PMM0918	6.144785278809602e-05	5.502631159235177e-05	8.564699637688042e-05	6.342190228818553e-05	3.28484163131416e-05	0.00017177912628645278	7.26744656329241e-05	5.9157023919728824e-05	0.00013832839562644936	7.267446563292615e-05	6.069825558022414e-05	7.608872842708733e-05	6.490144736744967e-05	7.424741877018232e-05	4.6764451878638866e-05	6.144785278809613e-05
PMM0919	-0.04314655716137805	-0.038637573011487646	-0.06013835890440251	-0.04453266645129321	-0.023065021930111645	-0.12061736179796523	0.97096294634461	-0.04153801635431687	-0.09712941556347662	-0.05102949644825782	-0.04262021592551766	-0.05342687370602292	-0.04557155183847724	-0.05213396974341036	-0.0328363808424741	-0.04314655716137812
PMM0920	0.06662601412026965	0.05966333479188637	0.09286440015477461	0.06876641519043973	0.028959035620963365	0.15143980731532847	0.07879868463664479	0.06414213893828323	0.1499852187189825	0.07879868463657239	0.06581324895621515	0.0	0.07037064034837767	0.08050418927472645	0.05070525477822505	0.06662601412026475
PMM0930	0.8637810483400105	0.77351254693042	0.9852367209971992	0.8915305378550071	0.4617547756651846	2.582141421619821	1.021595112988525	0.794968485943473	1.9445015760185098	1.021595112988554	0.5402555838479429	0.8752835764429222	0.8683025048249225	1.0437063349147992	1.249896292047008	0.8637810483400116
PMM0932	0.055839106269585534	0.050003701044276344	0.07782943610498162	0.057632971389609294	0.029850126995038556	0.15609972443925654	0.06604099289777528	0.053757376301455995	0.125702260258359	0.06604099289777712	0.055157929690574925	0.06914361364602221	0.05897746873431839	0.06747037233746585	0.04249595518162849	0.05583910626958562
PMM0938	-0.06786805244064355	-0.06077557524497718	-0.05646882113719566	0.3712620933235793	-0.031287369454927376	-3.92027093198802	-0.0802676451801261	-0.06533787300046336	-0.1527812345335378	-0.08026764518007061	-0.5409930881560142	-0.08403863726274957	-0.07168248577535642	-19.894070257166256	-0.05165049921930086	-0.06786805244064058
PMM0951	0.046973989793270415	-0.7237173114349804	0.06547309549620772	0.048483057675405346	0.025111067394650584	0.1313170527325585	0.05555620663662576	0.008612697940844367	0.10574554438354258	0.055556206636627775	0.04640095802740851	0.0	0.04961410021470542	0.05675865523755021	0.03574922125937432	0.046973989793269715
PMM0963	0.004484137081483205	0.0040155272002655625	0.0	0.004628192702019868	0.0023971025019492807	0.01253552589806835	0.0	0.34273086463518493	0.0	0.0	0.004429435468920986	0.005552550221720766	0.0	0.0	0.0034126206734576927	0.4320584996968829
